wavelength_nm,importance_psi,importance_delta,importance_total
524,7.529617778738833e-05,3.3658919428644776e-06,7.866206973025281e-05
525,0.0046175273150703,2.763926808059063e-05,0.004645166583150891
526,0.004263982889316235,3.721640540180483e-05,0.004301199294718039
527,3.5027059799251892e-06,5.40697954371221e-06,8.909685523637399e-06
528,0.00017813419403392948,0.00011906429025986551,0.000297198484293795
529,0.004219145456785152,1.4277124481944182e-06,0.004220573169233346
530,6.804333759543055e-06,0.0003773886669664856,0.0003841930007260287
531,6.619842175940415e-05,1.563454362670101e-05,8.183296538610516e-05
532,2.0378883634170545e-05,1.6271191410916025e-06,2.2006002775262146e-05
533,4.829019399377117e-05,1.0441705702727214e-05,5.8731899696498384e-05
534,6.399207139794422e-05,3.539600082854308e-07,6.434603140622965e-05
535,4.3027632773604695e-06,1.157345204465154e-06,5.4601084818256235e-06
536,3.663909180527014e-05,9.32905140259547e-05,0.00012992960583122485
537,4.435012281696178e-07,3.7894709250896884e-05,3.83382104790665e-05
538,1.4259686555604481e-06,2.2966774142845243e-05,2.439274279840569e-05
539,4.910156024478936e-05,0.00014290218853080217,0.00019200374877559152
540,0.00016193319744284222,9.681075279244317e-06,0.00017161427272208653
541,7.334109644154755e-07,1.2986714790149247e-05,1.3720125754564723e-05
542,3.73294313208018e-05,1.01619083410399e-06,3.834562215490579e-05
543,2.7836517036327556e-06,1.859883000706957e-06,4.643534704339712e-06
544,3.8277680744814414e-05,0.00015923933018018887,0.00019751701092500328
545,4.354643017042242e-07,2.0895037485351556e-05,2.133050178705578e-05
546,1.292665142720631e-05,1.5157261787086712e-06,1.4442377605914981e-05
547,0.0001209123704009649,2.2951078981282964e-05,0.00014386344938224787
548,0.0002542081486509367,2.311493146026726e-06,0.0002565196417969634
549,4.223659793423757e-06,7.490892923221711e-06,1.171455271664547e-05
550,6.7264413768507995e-06,0.0004225121990722089,0.0004292386404490597
551,4.6309746721060475e-06,1.6692280534573015e-05,2.132325520667906e-05
552,6.201849706199303e-06,3.054611429043097e-05,3.6747963996630275e-05
553,6.792536468295502e-07,2.326505769443012e-05,2.394431134125967e-05
554,4.1665224251468765e-06,8.917838006563333e-06,1.308436043171021e-05
555,1.3337483408088311e-05,6.73187396217607e-05,8.0656223029849e-05
556,6.384065960895191e-06,1.5607104742476738e-05,2.199117070337193e-05
557,0.00010793014575409318,1.7351140611510073e-05,0.00012528128636560325
558,6.432392645944521e-06,7.39043324423607e-05,8.033672508830522e-05
559,4.350901690555034e-06,4.741597703887181e-05,5.176687872942685e-05
560,8.152721876781571e-06,2.280602866697346e-06,1.0433324743478917e-05
561,1.3452861729326777e-05,2.3378223915289836e-05,3.6831085644616616e-05
562,4.4436169767344655e-06,1.7268302444721267e-05,2.1711919421455734e-05
563,8.637096477207916e-05,4.75756099659365e-06,9.112852576867282e-05
564,4.5757893642552765e-06,5.983392535634456e-05,6.440971472059983e-05
565,9.79769578498243e-06,3.175631917867214e-05,4.155401496365457e-05
