wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
165,Linear Regression,4452.4227,1958.6835,65.0293,14.9536,29.7623,6.0724,-14.7742,7.3846
165,Random Forest,3.9939,0.8106,1.9879,0.2052,1.2976,0.0774,0.9858,0.0032
165,MLP,2.9614,1.1555,1.6794,0.3754,1.1547,0.2239,0.9896,0.0041
160,Linear Regression,3064.1046,2103.3518,52.2514,18.2728,24.124,9.769,-10.3498,8.3605
160,Random Forest,4.4183,1.2551,2.0822,0.2876,1.3751,0.139,0.9842,0.0048
160,MLP,3.9257,1.8584,1.9265,0.4629,1.2989,0.3129,0.9863,0.0057
155,Linear Regression,4077.104,1481.9784,62.7447,11.841,27.5655,5.8067,-13.7295,6.1993
155,Random Forest,4.0581,1.3728,1.9848,0.3446,1.3186,0.1354,0.9855,0.0054
155,MLP,3.1491,0.7201,1.7618,0.2125,1.1507,0.1002,0.9889,0.0025
150,Linear Regression,3286.3442,1876.2366,55.3546,14.9069,25.2537,8.1197,-10.8294,7.4652
150,Random Forest,3.3172,0.7377,1.8102,0.2011,1.2341,0.1135,0.9882,0.0031
150,MLP,3.5886,1.2161,1.86,0.359,1.2896,0.1731,0.9875,0.0038
145,Linear Regression,6712.6672,2814.3873,79.7351,18.8411,33.5362,8.428,-23.3756,10.9523
145,Random Forest,3.3125,0.712,1.8096,0.1943,1.26,0.0855,0.9882,0.0028
145,MLP,4.0009,1.5564,1.9564,0.4166,1.3733,0.2962,0.9858,0.0057
140,Linear Regression,4604.3411,3053.4422,63.7908,23.1318,28.9039,8.9419,-15.7968,11.2018
140,Random Forest,3.9548,1.5982,1.9493,0.3936,1.3151,0.1467,0.9858,0.0062
140,MLP,3.3066,1.6298,1.7691,0.4204,1.157,0.1625,0.9886,0.0047
135,Linear Regression,7692.7321,3706.0317,85.5138,19.4969,35.2812,7.2222,-26.4364,13.5314
135,Random Forest,3.84,0.4501,1.9561,0.1167,1.3023,0.0655,0.9864,0.002
135,MLP,3.2848,1.8127,1.7351,0.5235,1.1178,0.2343,0.9885,0.0063
130,Linear Regression,8692.7281,4100.0027,90.5397,22.2551,37.9169,10.0503,-30.534,15.7894
130,Random Forest,4.4378,1.1953,2.0879,0.2798,1.3598,0.1331,0.9842,0.0046
