wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
165,Linear Regression,7268.2343,1584.52,84.7276,9.4584,40.8954,5.9549,-24.8737,6.354
165,Random Forest,3.308,0.7851,1.805,0.2238,1.2544,0.1308,0.9883,0.0027
165,MLP,3.0191,1.3349,1.6864,0.4187,1.1614,0.2565,0.9894,0.0048
160,Linear Regression,7231.1474,4355.738,80.5234,27.3336,39.3958,17.7297,-24.958,16.9881
160,Random Forest,3.4908,0.6793,1.8584,0.1929,1.238,0.1175,0.9877,0.0024
160,MLP,2.5877,1.3373,1.5558,0.4088,1.084,0.2312,0.991,0.0044
155,Linear Regression,4758.1127,1192.8241,68.4152,8.8018,28.7292,4.143,-15.827,4.5177
155,Random Forest,3.0448,0.6243,1.7348,0.188,1.2066,0.114,0.9893,0.002
155,MLP,3.0151,0.9132,1.7129,0.2845,1.1404,0.167,0.9894,0.0032
150,Linear Regression,5215.7691,2337.8189,70.4754,15.7793,31.4359,8.0659,-18.0011,9.49
150,Random Forest,3.4705,0.7658,1.849,0.227,1.2489,0.1275,0.9878,0.0027
150,MLP,2.8378,1.2223,1.6395,0.3871,1.1392,0.2309,0.9902,0.0037
145,Linear Regression,9661.0604,2210.9001,97.6377,11.3108,42.5351,7.6954,-33.5735,9.2167
145,Random Forest,3.776,0.9773,1.9225,0.2829,1.284,0.1927,0.9868,0.0031
145,MLP,3.1397,0.7364,1.7585,0.2175,1.2177,0.1074,0.9889,0.0026
140,Linear Regression,8997.6466,4317.6571,92.1612,22.4492,38.5651,12.173,-31.838,17.3375
140,Random Forest,3.6604,0.5911,1.907,0.1544,1.2946,0.1049,0.987,0.0023
140,MLP,3.6207,1.8413,1.8333,0.5096,1.2159,0.3123,0.9875,0.0058
135,Linear Regression,14910.5399,5180.21,120.1273,21.908,49.1252,9.8947,-51.9828,19.147
135,Random Forest,3.8483,0.3645,1.9596,0.0905,1.2886,0.0768,0.9863,0.0018
